,r6i1p1f1,r21i1p2f1,r13i1p2f1,r19i1p2f1,r17i1p1f1,r3i1p2f1,r11i1p1f1,r14i1p2f1,r14i1p1f1,r7i1p2f1,r12i1p2f1,r12i1p1f1,r17i1p2f1,r7i1p1f1,r25i1p1f1,r11i1p2f1,r18i1p1f1,r4i1p2f1,r21i1p1f1,r15i1p2f1,r23i1p2f1,r9i1p1f1,r25i1p2f1,r20i1p2f1
1971,2.305145637,-2.134811943,-4.08002404,1.67514106,-1.824400261,-0.218333977,-1.385375298,-1.426055229,-0.548782891,-3.722344902,-3.191608818,3.151465217,3.927268745,1.175477363,-1.62924279,0.969112617,-1.436430596,-0.172156914,1.183494941,-0.267927788,2.111997139,0.472602302,-1.187226494,1.611932441
1972,0.92783332,-1.088221062,-1.960757378,2.462625801,1.601922065,1.60939582,-0.352713555,0.26858863,2.419126961,-2.023853081,3.020388862,3.365095283,-2.339168938,-4.073930901,-0.257800835,1.606572944,-3.016758965,-3.788457268,4.093310005,-1.581520012,-1.83813073,2.946265938,2.098978035,0.010898506
1973,1.999791633,1.851494209,-2.806987236,-3.385296562,1.4086222,0.710452339,7.599775764,1.058470527,3.50722541,-0.687334831,1.524739753,0.079262153,2.975589058,3.255923836,-0.3950924,-0.659338616,0.339776985,-0.201885918,0.01335395,1.018310005,1.035213081,-2.042151116,-0.506738518,-0.584748467
1974,-1.456366204,-0.599531487,0.589624397,1.354723884,-1.930070732,0.926504585,3.981726753,0.843405525,-1.966520012,2.828609993,1.306415474,2.421164009,0.541656563,2.707150947,-0.620086296,-1.428674553,-0.847877739,2.154693672,0.914726326,1.793252937,-1.119791191,-0.254519585,1.952205574,0.896173469
1975,-0.196927727,1.297990181,2.117943489,0.795588142,-1.111726616,2.491856453,-1.799165581,-0.81970147,1.518798286,0.990655891,1.537081367,-0.312616509,0.397349312,1.316973335,-0.663615654,-1.431640862,1.666147529,0.7636399,-1.015642021,-1.865913933,2.651446296,-3.015152214,0.014010994,-0.239108818
1976,1.791353218,-1.79784417,0.822153389,0.363219978,-1.409490288,3.953645698,0.104555122,-2.145869683,-3.263635491,0.149743416,0.094834663,2.653392097,-0.158654717,-1.832424858,1.286744758,-4.011298149,1.633353645,2.351772224,1.113562385,-3.709684075,2.992485725,1.233001777,-1.062507256,2.349619514
1977,-0.431404045,0.033837959,-1.302813957,-1.918066948,1.676540596,3.892921516,-0.290174492,1.037704231,-0.565106743,0.80712989,0.458145515,0.405286018,0.599263679,-1.150129936,0.55488044,0.096684944,-2.339016655,-3.635781487,0.04677436,-4.066872185,-1.485028313,0.556274177,1.303481819,-1.885371025
1978,-1.599748162,1.684700996,-3.821549004,-0.621072014,-0.098384331,2.012214424,2.88115699,2.42987342,2.423326179,3.524254524,0.365873482,2.754987251,-0.128668755,1.681241523,3.262957527,0.006960212,3.694918586,4.162808601,3.040501472,0.005462105,-2.74344384,1.242709724,0.876098091,0.860966865
1979,-0.61601342,2.256623909,-0.785800408,0.019613716,2.124595405,0.154839241,-0.679087761,0.288007881,2.2227938,2.836486885,-0.02759301,-1.572931755,2.193168403,0.488275215,1.379304878,-1.969954766,-0.326214531,2.921839668,3.086426155,0.208741523,1.636068794,2.801956245,1.120540535,2.066557075
1980,4.293154976,0.64495948,-0.242838677,-1.251211785,1.675579597,1.309758369,0.337502205,2.205837776,-0.717677544,2.692939827,0.141125252,3.100018989,-0.909556206,1.013173897,2.544677192,-0.779205559,-2.802475518,-0.621965874,2.460609504,3.192756721,0.825266792,1.271031868,-2.254981621,-3.333356865
1981,-0.752896965,2.718198311,-0.103816155,-1.761617974,-0.14003167,2.482697822,0.958764412,-2.718119133,0.255287544,-1.17954583,2.706958687,-1.070381401,3.108481514,-1.088080376,1.947734749,2.799714424,-0.471293877,-1.04986657,2.8461576,2.625591194,2.13637397,-0.170933769,0.715446541,0.712652656
1982,0.545574104,-2.631483086,1.231784126,-3.941883477,1.022791511,0.489364082,-4.733047112,-2.878293694,4.273011848,-0.225252007,1.685794136,1.145470344,-0.871545342,-0.971630181,1.84772834,0.135137703,-2.905040215,1.392690803,1.299192573,-1.175812615,0.35260627,0.259060127,-1.948861931,2.717949592
1983,2.254397957,-0.016819084,-0.058684929,2.133143684,2.481467354,0.882295295,1.16735572,0.525070869,-0.556429985,-0.29729821,1.321349861,-0.465379265,-3.443432244,-0.767182244,0.579476387,0.980069648,2.318731148,-1.94953637,2.985759346,0.476531746,0.372584602,1.72842231,-2.281045769,3.907925789
1984,-3.018882683,-0.781900261,0.895964424,1.417057869,-1.162108391,-0.547495964,-2.326254509,-1.157274712,0.891389534,-1.799274834,2.756648018,0.165669319,2.199987556,0.728363716,-0.926588372,-0.235421685,1.671628486,2.854383613,3.063506233,1.725112983,2.13176429,1.769778511,1.748570015,-1.154777764
1985,0.222924568,1.655019905,3.120864326,4.350384285,1.661908333,3.768158943,0.339364998,2.426345894,1.560562507,-1.982267388,-0.075207451,8.944553291,0.231888801,-0.717397698,1.959027778,0.3791175,-1.782780998,1.541938545,1.114913398,3.42703437,-1.091702812,-2.6265429,-3.374628227,-2.7608471
1986,3.575274116,2.151872017,1.24599189,2.343604194,3.556476814,-0.068236321,0.079728157,2.250824959,-0.189126518,0.594918892,1.691855537,-0.729688042,-1.606753777,0.265766365,1.179358894,1.485226204,0.367466194,-1.093455742,-1.660504998,1.943002693,0.949332039,1.562366707,-0.780059441,2.081658394
1987,2.969194404,0.750301582,1.218324043,-1.725321587,-0.965676811,-0.686151055,2.813505317,0.798375313,1.172459175,2.554095222,2.930543281,2.335582039,2.545907661,2.544097358,3.332344124,2.79269416,4.293832161,3.06040229,-0.205945366,-1.983398674,2.623682014,1.310002815,-2.339421929,0.963439399
